method,family,n_assets,seed,goal_mult,hist_goal_hit,hist_terminal_wealth,hist_shortfall,hist_max_drawdown,goal_probability,terminal_wealth,mc_goal_prob,mc_goal_prob_ci_lo,mc_goal_prob_ci_hi,mc_shortfall_mean,mc_mean_wealth,mc_median_wealth,mc_wealth_p05,mc_wealth_p25,mc_wealth_p75,mc_wealth_p95,mean_gross_leverage,max_gross_leverage,mean_net_exposure,max_single_name_weight,turnover,wealth_vol,test_u,train_time_sec,solve_time_sec,nn_param_count
fd_nd,fd,5,1,1.1,True,1.233774369753974,0.0,-0.2751436415873785,0.913,1.233774369753974,0.913,0.9005,0.9242625,0.037158511368109444,1.0948775276008917,1.1329052073570614,0.7114155189957077,1.1193581889665976,1.1448408421909877,1.1613365751643348,0.7947051770686457,8.0,0.3174575959962825,0.2901965253946802,190.05388147764515,0.1275859574205684,,0.0,2.136917886993615,0
fd_merton_multi,fd,5,1,1.1,True,1.8068907617430092,0.0,-0.04833193690866333,1.0,1.8068907617430092,,,,,,,,,,,0.9999999999999999,0.9999999999999999,0.4209917790857099,0.4531353505400263,0.0,0.05795862623046553,,0.0,0.0001149440067820251,0
nn_mlp_small,nn,5,1,1.1,True,1.4469746806803752,0.0,-0.6811638470577219,0.8585,1.4469746806803752,0.8585,0.8435,0.8717625,0.03703869357878294,1.3705199004496262,1.3723402629919486,0.7803132323296903,1.2191912356302748,1.5254534416080432,1.869911672298454,4.144898082901589,5.18382853269577,1.838625916972089,2.3215427477165314,143.39402642805797,0.527269788939191,0.8407148122787476,17.04910528298933,0.0,1317
nn_mlp_deep,nn,5,1,1.1,True,2.852161065303277,0.0,-0.4644170755349101,0.564,2.852161065303277,0.564,0.5417125,0.5857625,0.1501094173689685,1.3506124931372623,1.2099061057282707,0.4600638432850382,0.8235364240267444,1.7220339320228986,2.6578022340909815,7.994197788760436,7.995062828063965,-2.0058022112395633,2.9941977887604367,29.546767651224645,0.5277614520536638,0.5850322842597961,8.574044121007319,0.0,6597
nn_policy_net,nn,5,1,1.1,True,1.4726532692877543,0.0,-0.5900260863797866,0.874,1.4726532692877543,0.874,0.859,0.8865,0.0468692678988412,1.364451459919212,1.3694438786302023,0.6762866636884698,1.240855936988352,1.5299668015740329,1.88363592280986,4.563132950026004,7.1720497608184814,1.436784098338132,2.0639320050928447,218.50572219278368,0.5415021187479645,0.856076180934906,16.352881854007137,0.0,34053
nn_ste_goalreach,nn,5,1,1.1,True,1.9176358859040934,0.0,-0.6644416357351461,0.806,1.9176358859040934,0.806,0.789,0.8215,0.07230789924146007,1.5149003353248849,1.5781823872092304,0.5681759090783163,1.2554435144285256,1.8423658906233735,2.231276589372405,4.10216961203523,5.277255535125732,1.8978138504929805,2.389456791731196,121.32928726829326,0.548752734471396,0.822265625,8.341600589003065,0.0,34053
nn_digital_hedge,nn,5,1,1.1,True,1.1052781981045356,0.0,-0.11645641195505052,0.4675,1.1052781981045356,0.4675,0.4455,0.4872625,0.029970203927904396,1.0895877003057597,1.0953245154645304,0.9926255432484364,1.0455121142371908,1.1231168811734344,1.1958821821915477,0.6723871961847615,1.464172825217247,0.2830694917181683,0.30468240974850913,11.160993542522192,0.05514850561949347,0.4287109375,14.10684752400266,0.0,33537
nn_policy_long_only,nn,5,1,1.1,True,1.6697310767804154,0.0,-0.35120543982294106,0.6815,1.6697310767804154,0.6815,0.6607375,0.7015,0.044568422936525194,1.2509099692206407,1.2168201419410811,0.8435326205918021,1.0590226698112908,1.41823675503351,1.761037139770459,1.000054786039229,1.00005504488945,1.000054786039229,0.9999929130373902,1.3440847396850586e-05,0.22461129262861212,0.6563661098480225,16.364578092994634,0.0,34053
nn_ste_long_only,nn,5,1,1.1,True,1.6697301108927314,0.0,-0.3512102409846807,0.6815,1.6697301108927314,0.6815,0.6607375,0.7015,0.044568416933196985,1.25091183578157,1.2168190512283181,0.8435325416490759,1.0590209315405736,1.4182384720230985,1.7610401558866322,1.0000810992065354,1.0000815987586975,1.0000810992065354,0.9999925769976715,1.2218952178955078e-05,0.22461283797830492,0.7001953125,5.723136290995171,0.0,34053
nn_digital_hedge_long_only,nn,5,1,1.1,True,1.1061023556976166,0.0,-0.1900829925488089,0.4835,1.1061023556976166,0.4835,0.4617375,0.5052625,0.035676613722374156,1.115501294199589,1.0907417697539765,0.9706593055622043,1.0337525649494617,1.1690667090135083,1.3494096791820016,0.4692435214657392,1.0000000819563866,0.4692435214657392,0.2992710161268415,7.310505196452141,0.08303828275166415,0.48583984375,7.541440262008109,0.0,33537
